# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
supCO2ccs88,elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (dry cooling)
supCO2ccs88,elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (once through)
supCO2ccs88,elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (recirculating)
supCO2ccs88,elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (seawater)
supCO2ccs88,elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (dry cooling)
supCO2ccs88,elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (once through)
supCO2ccs88,elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (recirculating)
supCO2ccs88,elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (seawater)
supCO2ccs88,elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (dry cooling)
supCO2ccs88,elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (once through)
supCO2ccs88,elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (recirculating)
supCO2ccs88,elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (seawater)
supCO2ccs88,elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (dry cooling)
supCO2ccs88,elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (once through)
supCO2ccs88,elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (recirculating)
supCO2ccs88,elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (seawater)
indCO2ccs90,iron and steel,BLASTFUR,BLASTFUR CCS
indCO2ccs90,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen
indCO2ccs90,iron and steel,EAF with DRI,EAF with DRI CCS
supCO2ccs82,refining,biomass liquids,FT biofuels CCS level 1
supCO2ccs90,refining,biomass liquids,FT biofuels CCS level 2
supCO2ccs26,refining,biomass liquids,cellulosic ethanol CCS level 1
supCO2ccs90,refining,biomass liquids,cellulosic ethanol CCS level 2
supCO2ccs82,refining,coal to liquids,coal to liquids CCS level 1
supCO2ccs90,refining,coal to liquids,coal to liquids CCS level 2
